"t"	"predictions"
1001	10.5890738500333
1002	10.8212962996929
1003	10.9703177591545
1004	10.7430996891982
1005	10.5006238130146
1006	10.5488102111664
1007	10.5272737894049
1008	10.5324962345715
1009	10.5289119451306
1010	10.5283599883196
1011	10.5267788101028
1012	10.5255491196777
1013	10.5242002598725
1014	10.5228925357383
1015	10.5215713338145
1016	10.5202552584514
1017	10.5189379716228
1018	10.5176216323
1019	10.5163055048371
1020	10.5149898396802
1021	10.5136745513493
1022	10.5123596688026
1023	10.5110451820134
1024	10.5097310942355
1025	10.5084174041988
1026	10.5071041121744
1027	10.5057912179084
1028	10.5044787213256
1029	10.5031666222901
1030	10.5018549206869
1031	10.5005436163937
1032	10.4992327092907
1033	10.4979221992576
1034	10.496612086174
1035	10.4953023699198
1036	10.4939930503746
1037	10.4926841274185
1038	10.4913756009312
1039	10.4900674707926
1040	10.4887597368827
1041	10.4874523990815
1042	10.486145457269
1043	10.4848389113253
1044	10.4835327611304
1045	10.4822270065645
1046	10.4809216475077
1047	10.4796166838403
1048	10.4783121154425
1049	10.4770079421945
1050	10.4757041639767
1051	10.4744007806694
1052	10.473097792153
1053	10.4717951983079
1054	10.4704929990145
1055	10.4691911941535
1056	10.4678897836052
1057	10.4665887672503
1058	10.4652881449693
1059	10.4639879166429
1060	10.4626880821518
1061	10.4613886413767
1062	10.4600895941982
1063	10.4587909404973
1064	10.4574926801547
1065	10.4561948130512
1066	10.4548973390678
1067	10.4536002580854
1068	10.4523035699849
1069	10.4510072746473
1070	10.4497113719538
1071	10.4484158617852
1072	10.4471207440228
1073	10.4458260185477
1074	10.4445316852411
1075	10.4432377439841
1076	10.4419441946581
1077	10.4406510371443
1078	10.439358271324
1079	10.4380658970786
1080	10.4367739142895
1081	10.4354823228381
1082	10.4341911226058
1083	10.4329003134743
1084	10.431609895325
1085	10.4303198680394
1086	10.4290302314993
1087	10.4277409855862
1088	10.4264521301818
1089	10.4251636651678
1090	10.4238755904261
1091	10.4225879058383
1092	10.4213006112863
1093	10.420013706652
1094	10.4187271918172
1095	10.417441066664
1096	10.4161553310741
1097	10.4148699849298
1098	10.4135850281129
1099	10.4123004605056
1100	10.41101628199
