"t"	"predictions2"
1001	9.75555774603833
1002	9.09175192941346
1003	8.1743124741726
1004	7.92354997600354
1005	8.153415490872
1006	9.44959055579177
1007	10.9847797989082
1008	11.6903285002311
1009	13.4287564746555
1010	13.98023630596
1011	12.9483132832901
1012	11.27828502117
1013	9.37616520824665
1014	8.3569745927189
1015	7.96445362017486
1016	8.09051765862353
1017	8.3083472213997
1018	9.46233738517919
1019	10.9346842026517
1020	11.6620341296753
1021	13.4335293564194
1022	13.9927411037898
1023	12.9524946805693
1024	11.2757317548189
1025	9.37344382514877
1026	8.35661321899336
1027	7.96526857556184
1028	8.09103373731002
1029	8.30829594266347
1030	9.46212621189941
1031	10.9346029683579
1032	11.6620722275439
1033	13.4335767881103
1034	13.9927497218403
1035	12.9524815728224
1036	11.2757224379051
1037	9.37344416957236
1038	8.35661675660663
1039	7.96527012281745
1040	8.09103318718938
1041	8.30829512219922
1042	9.46212602338367
1043	10.9346031764512
1044	11.6620723941822
1045	13.4335767914933
1046	13.9927496630786
1047	12.9524815438239
1048	11.2757224454843
1049	9.37344418365857
1050	8.35661676051896
1051	7.96527011956418
1052	8.09103318423461
1053	8.3082951219811
1054	9.46212602435087
1055	10.9346031769873
1056	11.6620723940852
1057	13.4335767912533
1058	13.9927496630003
1059	12.9524815438738
1060	11.2757224455363
1061	9.37344418366505
1062	8.3566167605032
1063	7.96527011955439
1064	8.09103318423569
1065	8.30829512198516
1066	9.4621260243524
1067	10.9346031769866
1068	11.6620723940843
1069	13.4335767912532
1070	13.9927496630006
1071	12.952481543874
1072	11.2757224455363
1073	9.37344418366498
1074	8.35661676050317
1075	7.9652701195544
1076	8.09103318423571
1077	8.30829512198516
1078	9.46212602435239
1079	10.9346031769866
1080	11.6620723940843
1081	13.4335767912532
1082	13.9927496630006
1083	12.952481543874
1084	11.2757224455363
1085	9.37344418366498
1086	8.35661676050317
1087	7.9652701195544
1088	8.09103318423571
1089	8.30829512198516
1090	9.46212602435239
1091	10.9346031769866
1092	11.6620723940843
1093	13.4335767912532
1094	13.9927496630006
1095	12.952481543874
1096	11.2757224455363
1097	9.37344418366498
1098	8.35661676050317
1099	7.9652701195544
1100	8.09103318423571
