"t"	"LissXt"
1	1.84535679215968
2	1.76986970762756
3	1.69215749186142
4	1.59782659167819
5	1.30047790882938
6	0.93249330784534
7	0.510844768640345
8	0.278079243540385
9	0.107856932574391
10	0.319118789170962
11	0.538977533257769
12	0.633517277588649
13	0.664116392072744
14	0.656814104454092
15	0.674890340609594
16	0.600668661311635
17	0.385553989880626
18	0.294673341311761
19	0.47559282834856
20	0.797027143955683
21	1.16233849358913
22	1.48474880533421
23	1.73178586298978
24	1.92579261777933
25	2.05997354036855
26	1.98977959973018
27	1.99563648828224
28	1.98723418388364
29	2.02693884963378
30	2.03343729103501
31	1.90147667918734
32	1.56848421642159
33	1.46862828137437
34	1.51761385927004
35	1.72217090022674
36	1.90248836937448
37	2.10355060517502
38	2.2340270687514
39	2.41867824397261
40	2.37538586426913
41	2.25816346178246
42	2.02464968146207
43	1.8399490591439
44	1.70958924060205
45	1.78038621443018
46	1.75757163339613
47	1.79767114800004
48	1.79829744922545
49	1.80455717793914
50	1.69730029974045
51	1.57021628911998
52	1.33707420408777
53	1.0884506186031
54	0.912715040591385
55	0.894059773585787
56	1.00649587649558
57	1.32994046920548
58	1.54737698326969
59	1.5928017461261
60	1.52135063384089
61	1.49961418723849
62	1.44342476047111
63	1.45923161698875
64	1.34395825045589
65	1.20778759331556
66	1.05092387832036
67	0.959885221799966
68	0.939459778121702
69	1.09415797306425
70	1.11046234103657
71	1.25043189795514
72	1.52894246493123
73	1.76113779215391
74	1.87898010923446
75	1.78879313444467
76	1.51750325142535
77	1.30793106822312
78	1.23813171609751
79	1.18145154352602
80	1.08385877560596
81	0.960560881024461
82	0.829983905949342
83	1.06934741754478
84	1.23119342954914
85	1.18357233557225
86	0.942374882093257
87	0.630067223803496
88	0.538251659743847
89	0.669178754934426
90	0.919986638873981
91	1.02754155098514
92	1.22090358872152
93	1.51321147114295
94	1.87601445330229
95	2.20788973812431
96	2.24957008767054
97	2.19158261962797
98	2.18479731459595
99	2.36265734943834
100	2.46009775027053
101	2.5602535978096
102	2.44649618996151
103	2.1259687107774
104	1.94382626263726
105	1.84309317486811
106	1.86074437603374
107	1.9541207159553
108	2.12943031755914
109	2.20921987699968
110	2.40048028964263
111	2.52295207815172
112	2.48037796401325
113	2.39962543146266
114	2.07411475661966
115	1.78085798722259
116	1.79527565528931
117	1.83813614365741
118	1.96533960437301
119	2.09168428646548
120	2.27273016681584
121	2.34258661059403
122	2.40288174681821
123	2.3654313168193
124	2.20606933057578
125	2.00570833673929
126	1.69925640640768
127	1.62545789069337
128	1.84271189586694
129	2.25753300795772
130	2.66704492240099
131	2.92178403331901
132	2.87883397812266
133	2.62470253784573
134	2.35742849055745
135	2.1989800385668
136	1.9171952598813
137	1.61081742344938
138	1.38556311216046
139	1.43314151742699
140	1.67337951592773
141	1.74566724822027
142	1.61708319869002
143	1.40882135770064
144	1.33876096723715
145	1.5069901803596
146	1.76540060407078
147	1.92358927982661
148	1.97114130690404
149	1.99331511152686
150	2.21346973015316
151	2.3523431292951
152	2.48372254034168
153	2.37114728422231
154	2.48062401168038
155	2.56087129257787
156	2.81083027331411
157	2.79885824895428
158	2.69223791770712
159	2.56405159471937
160	2.42689705439032
161	2.30990996539303
162	2.24055491952861
163	2.08676650772726
164	2.13114667062178
165	2.2032509197155
166	2.4262223005841
167	2.47497930297272
168	2.43627177773173
169	2.30188065134167
170	2.33967938585557
171	2.39387771968014
172	2.40558125129361
173	2.27575151491142
174	2.11789769679785
175	2.02727171423642
176	2.11838642486812
177	2.26458436198851
178	2.42297675276534
179	2.48179203870341
180	2.56746191810767
181	2.72221046608374
182	2.95423302091632
183	3.14855955746695
184	3.20993954231043
185	3.10177794346855
186	3.10137523038764
187	3.13384866227283
188	3.27139476373425
189	3.31192332047314
190	3.28801560159584
191	3.28168264497138
192	3.4569408050316
193	3.58622155739386
194	3.66177369455326
195	3.54855285207176
196	3.25458686228736
197	3.00630035052815
198	2.8189049987823
199	2.71770885319387
200	2.64995280374515
201	2.59934015105694
202	2.622527853945
203	2.69602455457725
204	2.86691920581207
205	2.8948780700736
206	2.93630709251114
207	2.97365953814682
208	2.81681147172345
209	2.87288172577654
210	3.00530686776378
211	3.37150505022936
212	3.70942487587646
213	3.8813490891517
214	3.87237530709384
215	3.8875807261064
216	4.00227663010152
217	4.30862709013332
218	4.51069109671594
219	4.44115365491995
220	3.95009302061617
221	3.61789018004291
222	3.44514809477738
223	3.31029947243261
224	3.11379452578388
225	2.94852155793369
226	2.95524895769843
227	3.26439512535079
228	3.60806099407953
229	3.76478041565432
230	3.56790636908206
231	3.25244410040869
232	3.09563720232703
233	3.27322816850103
234	3.54107171722974
235	3.56995164710593
236	3.59907765523699
237	3.51414863152804
238	3.42985211455165
239	3.4933664955243
240	3.61065186626374
241	3.76340143596806
242	3.81676162909256
243	3.62493965585747
244	3.34102676834422
245	3.19725644111714
246	3.10085222668603
247	3.04797726065251
248	2.97683461689863
249	2.96933769264314
250	3.0312037609986
251	3.14505920848251
252	3.20641075244943
253	3.17500657782871
254	3.03505481741633
255	2.88948244240631
256	2.76675085909301
257	2.64710527120875
258	2.5972845212901
259	2.61825128291012
260	2.56215622686699
261	2.51769500733852
262	2.46133155027098
263	2.59806235373014
264	2.82701912006844
265	3.10974586936751
266	3.15779436520909
267	3.08856794432497
268	2.97993662999041
269	3.02466766584382
270	3.23349289170626
271	3.21483768644192
272	3.06887113185915
273	3.03352519417777
274	3.40106271710673
275	3.81455816674702
276	3.89872264534119
277	3.894116322711
278	3.76334721348727
279	3.84879104758893
280	3.81606822825292
281	3.6600799796084
282	3.34932585275945
283	3.02382843135095
284	2.99213211517399
285	3.17087135065816
286	3.39699407800345
287	3.30452678449762
288	3.28269813323674
289	3.53497045727757
290	3.90206118737292
291	4.15743676242551
292	4.10062147302481
293	3.99171869480633
294	4.08070542915452
295	4.44596065356115
296	4.82051733776021
297	5.14630714068814
298	5.22493604421662
299	5.30167961031612
300	5.3886552625091
301	5.3236198400658
302	5.25366716263962
303	4.96619241056826
304	4.74275803244386
305	4.57307208631557
306	4.66782879534687
307	4.71690453625316
308	4.55481973028479
309	4.30524203125586
310	4.04497510200927
311	4.07105287057078
312	4.22014685633744
313	4.42563935150506
314	4.64782380421352
315	4.65407174904317
316	4.62830277494259
317	4.48088364822524
318	4.33546750816911
319	4.15710349461488
320	4.02196763467179
321	4.04831301510198
322	4.24286376582861
323	4.48100313629483
324	4.73813809779605
325	4.93264894109069
326	5.00788834371217
327	4.96913858613491
328	4.85594889486572
329	4.73663557849082
330	4.55524826894061
331	4.46245892398272
332	4.4382859319216
333	4.47694361028724
334	4.61636525399627
335	4.74458729815388
336	4.79899370640178
337	4.85009363461824
338	4.80539127034043
339	4.67247306187764
340	4.40941689850583
341	4.14940611204401
342	3.87591041548027
343	3.63317962256875
344	3.45678589053445
345	3.38100957354031
346	3.54949513593411
347	3.8157387837372
348	3.97324858216225
349	4.07733733305753
350	4.00051536789245
351	3.77430306360106
352	3.68001719184087
353	3.62152617115761
354	3.73996142760516
355	3.97918298936823
356	4.43386404593482
357	4.89675320163713
358	5.08285357934671
359	5.07044477899534
360	4.92162023524218
361	4.97666839192767
362	5.1140312532428
363	5.109693203927
364	5.17098874885322
